Date,2308.TW,0
2021-09-24,260.0,0
2021-09-27,258.0,0
2021-09-28,252.5,0
2021-09-29,248.5,0
2021-09-30,252.0,0
2021-10-01,248.0,0
2021-10-04,240.0,1
2021-10-05,245.0,0
2021-10-06,244.5,0
2021-10-07,248.5,0
2021-10-08,250.5,0
2021-10-12,247.0,0
2021-10-13,246.5,0
2021-10-14,235.5,0
2021-10-15,240.0,0
2021-10-18,249.5,0
2021-10-19,259.0,0
2021-10-20,254.5,0
2021-10-21,253.0,0
2021-10-22,244.0,0
2021-10-25,242.5,0
2021-10-26,244.5,0
2021-10-27,244.5,0
2021-10-28,252.5,0
2021-10-29,245.0,0
2021-11-01,257.5,0
2021-11-02,252.0,0
2021-11-03,247.0,0
2021-11-04,253.5,0
2021-11-05,262.0,0
2021-11-08,259.5,0
2021-11-09,266.0,0
2021-11-10,265.0,0
2021-11-11,259.0,0
2021-11-12,261.0,0
2021-11-15,260.0,0
2021-11-16,256.0,0
2021-11-17,261.5,0
2021-11-18,260.0,0
2021-11-19,261.0,0
2021-11-22,259.0,0
2021-11-23,255.0,0
2021-11-24,256.0,0
2021-11-25,259.0,0
2021-11-26,252.0,0
2021-11-29,253.5,0
2021-11-30,256.0,0
2021-12-01,258.0,0
2021-12-02,261.5,0
2021-12-03,261.5,0
2021-12-06,261.0,0
2021-12-07,263.0,0
2021-12-08,261.0,0
2021-12-09,269.0,0
2021-12-10,271.0,0
2021-12-13,270.0,0
2021-12-14,269.0,0
2021-12-15,267.5,0
2021-12-16,266.0,0
2021-12-17,269.0,0
2021-12-20,264.0,0
2021-12-21,266.0,0
2021-12-22,265.5,0
2021-12-23,270.0,0
2021-12-24,270.5,0
2021-12-27,275.5,0
2021-12-28,277.5,0
2021-12-29,278.0,0
2021-12-30,275.0,0
2022-01-03,282.0,0
2022-01-04,297.0,0
2022-01-05,290.5,0
2022-01-06,291.0,0
2022-01-07,283.0,0
2022-01-10,283.5,0
2022-01-11,287.0,0
2022-01-12,282.0,0
2022-01-13,277.0,0
2022-01-14,271.5,0
2022-01-17,273.5,0
2022-01-18,274.0,0
2022-01-19,275.0,0
2022-01-20,272.5,0
2022-01-21,272.5,0
2022-01-24,272.0,0
2022-01-25,269.0,0
2022-01-26,268.0,0
2022-02-07,271.0,0
2022-02-08,269.0,0
2022-02-09,269.5,0
2022-02-10,269.5,0
2022-02-11,265.5,0
2022-02-14,256.0,0
2022-02-15,253.5,0
2022-02-16,258.5,0
2022-02-17,261.0,0
2022-02-18,261.5,0
2022-02-21,260.0,0
2022-02-22,257.0,0
2022-02-23,259.0,0
2022-02-24,253.5,0
2022-02-25,246.5,0
2022-03-01,256.5,0
2022-03-02,255.0,0
2022-03-03,256.0,0
2022-03-04,254.5,0
2022-03-07,247.0,0
2022-03-08,235.5,0
2022-03-09,241.5,0
2022-03-10,254.5,0
2022-03-11,262.0,0
2022-03-14,257.5,0
2022-03-15,251.5,0
2022-03-16,249.0,0
2022-03-17,260.5,0
2022-03-18,256.0,0
2022-03-21,261.0,0
2022-03-22,262.0,0
2022-03-23,264.5,0
2022-03-24,266.5,0
2022-03-25,268.0,0
2022-03-28,265.0,0
2022-03-29,266.0,0
2022-03-30,268.0,0
2022-03-31,268.5,0
2022-04-01,268.5,0
2022-04-06,263.5,0
2022-04-07,261.0,0
2022-04-08,261.0,0
2022-04-11,250.5,0
2022-04-12,248.5,1
2022-04-13,255.5,0
2022-04-14,253.0,1
2022-04-15,249.5,1
2022-04-18,247.5,0
2022-04-19,247.5,1
2022-04-20,251.0,0
2022-04-21,253.0,1
2022-04-22,246.0,1
2022-04-25,236.5,0
2022-04-26,252.0,1
2022-04-27,245.0,1
2022-04-28,246.5,1
2022-04-29,250.0,1
2022-05-03,242.5,1
2022-05-04,241.0,1
2022-05-05,241.0,1
2022-05-06,234.0,1
2022-05-09,230.0,0
2022-05-10,226.5,1
2022-05-11,223.5,1
2022-05-12,218.5,0
2022-05-13,221.0,1
2022-05-16,223.0,0
2022-05-17,225.0,1
2022-05-18,231.0,1
2022-05-19,222.0,1
2022-05-20,226.5,1
2022-05-23,225.0,1
2022-05-24,220.0,0
2022-05-25,222.5,0
2022-05-26,224.0,0
2022-05-27,231.5,1
2022-05-30,238.5,1
2022-05-31,241.5,0
2022-06-01,241.5,1
2022-06-02,236.5,0
2022-06-06,239.0,0
2022-06-07,233.0,1
2022-06-08,234.5,1
2022-06-09,235.0,1
2022-06-10,237.0,1
2022-06-13,228.0,1
2022-06-14,228.5,1
2022-06-15,225.0,1
2022-06-16,227.5,1
2022-06-17,227.0,0
2022-06-20,220.0,1
2022-06-21,232.5,0
2022-06-22,226.5,1
2022-06-23,234.0,1
2022-06-24,239.0,1
2022-06-27,236.5,1
2022-06-28,236.0,1
2022-06-29,227.5,1
2022-06-30,221.5,1
2022-07-01,221.5,1
2022-07-04,219.0,0
2022-07-05,220.5,0
2022-07-06,210.5,1
2022-07-07,221.0,1
2022-07-08,227.5,1
2022-07-11,229.5,1
2022-07-12,231.0,1
2022-07-13,239.5,1
2022-07-14,239.5,1
2022-07-15,245.0,1
2022-07-18,245.0,1
2022-07-19,246.0,1
2022-07-20,249.0,1
2022-07-21,250.0,1
2022-07-22,248.0,1
2022-07-25,250.5,1
2022-07-26,249.0,1
2022-07-27,254.0,1
2022-07-28,262.0,1
2022-07-29,258.0,1
2022-08-01,258.5,1
2022-08-02,258.5,1
2022-08-03,264.0,1
2022-08-04,261.0,1
2022-08-05,262.5,1
2022-08-08,264.5,1
2022-08-09,265.0,1
2022-08-10,272.0,1
2022-08-11,272.5,1
2022-08-12,267.0,1
2022-08-15,274.0,1
2022-08-16,272.5,1
2022-08-17,272.5,1
2022-08-18,272.5,1
2022-08-19,272.5,1
2022-08-22,270.0,1
2022-08-23,266.0,1
2022-08-24,267.0,1
2022-08-25,268.0,1
2022-08-26,268.0,1
2022-08-29,262.5,1
2022-08-30,264.0,1
2022-08-31,263.0,1
2022-09-01,258.5,1
2022-09-02,255.0,1
2022-09-05,255.5,1
2022-09-06,257.5,1
2022-09-07,257.0,0
2022-09-08,268.0,1
2022-09-12,270.0,0
2022-09-13,269.0,0
2022-09-14,268.0,1
2022-09-15,270.5,1
2022-09-16,264.5,1
2022-09-19,269.0,0
2022-09-20,271.0,0
2022-09-21,267.0,1
2022-09-22,270.0,1
2022-09-23,266.5,1
2022-09-26,260.5,1
